order_id,cust_no,product_cd,amount_eur
9000091,203473,P1006,38.56
9000092,204065,P1006,256.81
9000093,207533,P1001,25.25
9000094,203096,P1004,68.96
9000095,210035,P1004,94.68
9000096,204252,P1002,137.99
9000097,200774,P1004,39.4
9000098,200061,P1006,98.11
9000099,200301,P1003,22.31
9000100,207519,P1001,114.49
9000101,204148,P1001,36.92
9000102,203378,P1004,35.53
9000103,207307,P1004,112.98
9000104,200815,P1004,143.97
9000105,206474,P1005,180.05
9000106,207378,,107.9
9000107,200381,P1006,107.48
9000108,202109,P1002,26.09
9000109,204669,P1006,66.21
9000110,203641,P1002,93.37
9000111,211370,P1004,132.12
9000112,205274,P1002,98.8
9000113,207738,P1001,26.83
9000114,201797,P1006,90.8
9000115,209645,P1002,177.56
9000116,202607,P1006,45.68
9000117,209178,,28.22
9000118,205674,P1002,18.37
9000119,204864,P1004,105.34
9000120,205698,P1006,127.22
9000121,206409,P1002,59.72
9000122,203053,P1004,150.3
9000123,201452,P1004,36.88
9000124,203559,P1006,104.72
9000125,211829,P1004,43.46
9000126,203338,P1002,45.56
9000127,207984,P1005,139.35
9000128,203117,P1005,75.45
9000129,210022,P1003,30.98
9000130,205774,P1004,6.35
9000131,206786,P1005,70.65
9000132,202536,P1005,58.78
9000133,207268,P1004,85.44
9000134,205928,P1004,71.17
9000135,208523,P1002,88.05
9000136,202946,P1001,64.72
9000137,207282,P1003,151.81
9000138,210029,P1002,57
9000139,205590,P1005,86.4
9000140,202155,P1004,48.14
9000141,200871,P1001,120.84
9000142,210312,P1002,81.25
9000143,206041,P1004,111.96
9000144,202133,P1006,51.52
9000145,203514,P1006,45.88
9000146,208977,P1002,40.57
9000147,204433,P1001,123.89
9000148,207310,P1002,218.77
9000149,209713,P1001,84.63
9000150,202502,P1006,99.65
9000151,210285,P1005,57.15
9000152,209089,P1004,45
9000153,204005,P1003,226.87
9000154,202982,P1001,81.41
9000155,204119,P1005,50.46
9000156,201024,P1003,19.07
9000157,205133,P1006,106.63
9000158,207392,P1002,44.35
9000159,209229,P1005,83.82
9000160,206423,P1001,29.77
9000161,201293,P1005,68.91
9000162,207589,P1002,34.19
9000163,201180,P1005,131.91
9000164,202086,P1004,96.24
9000165,211506,P1005,45.09
9000166,202969,P1005,10.01
9000167,206881,P1002,35.12
9000168,208191,P1005,111.3
9000169,209824,P1006,95.48
9000170,200968,P1004,52.2
9000171,210053,P1002,96.97
9000172,210466,P1006,55.53
9000173,208291,P1002,170.23
9000174,205128,P1004,128.61
9000175,203205,P1003,21.39
9000176,207396,P1006,42.13
9000177,208046,P1001,176.82
9000178,203745,P1004,25.96
9000179,208153,P1006,7.92
9000180,202141,P1001,54.74
9000181,203063,P1002,111.79
9000182,200117,P1003,154.09
9000183,203483,P1001,9.53
9000184,202513,P1003,126.7
9000185,209832,P1004,34.09
9000186,210406,P1006,84.04
9000187,210426,P1004,61.38
9000188,211636,P1001,39.36
9000189,207523,P1004,41
9000190,205284,P1002,37.19
9000191,206964,P1006,104.07
9000192,204530,P1004,107.75
9000193,205662,P1002,119.42
9000194,203301,P1004,71.4
9000195,208290,P1006,165.04
9000196,211555,P1002,85.88
9000197,201900,P1002,47.55
9000198,200697,P1005,20.2
9000199,204524,P1006,17.6
9000200,204889,P1003,97.89
9000201,204929,P1006,156.19
9000202,202017,P1001,32.51
9000203,201962,P1005,82.75
9000204,202873,P1006,52.2
9000205,206919,P1003,29.07
9000206,209329,P1001,132.76
9000207,205656,P1002,116
9000208,202438,P1001,87.35
9000209,205104,P1001,86.63
9000210,206603,P1003,210.49
9000211,211189,P1004,210.71
9000212,204390,P1002,81.59
9000213,202856,P1001,87.7
9000214,206068,P1003,157.67
9000215,200728,P1005,90.53
9000216,203988,P1001,45.82
9000217,201958,P1006,54.04
9000218,203382,P1002,62.24
9000219,201528,P1001,88.94
9000220,203371,P1001,225.81
9000221,204200,P1006,144.63
9000222,201022,P1005,66.64
9000223,204118,P1004,85.94
9000224,205763,P1005,45.65
9000225,201125,P1001,140.57
9000226,210565,P1001,158.67
9000227,210480,P1005,32.18
9000228,211329,P1001,59.83
9000229,201433,P1003,54.34
9000230,200328,P1006,97.13
9000231,211591,P1001,127.36
9000232,210977,P1006,211.15
9000233,209588,P1006,107.3
9000234,201454,P1004,71.59
9000235,207977,P1005,52.56
9000236,208945,P1003,56.45
9000237,203458,P1006,92.58
9000238,210723,P1004,98.12
9000239,209017,P1004,101.64
9000240,202009,P1003,109.68
9000241,206911,P1006,184.27
9000242,203965,P1003,113.69
9000243,209396,P1004,92.99
9000244,204523,P1002,51.21
9000245,210314,P1002,73.73
9000246,204149,P1005,78.45
9000247,207942,P1002,147.13
9000248,206175,P1003,128.3
9000249,205014,P1006,97.78
9000250,200108,P1005,70.2
9000251,211767,P1001,140.74
9000252,205056,P1002,4.36
9000253,203995,P1002,37.35
9000254,210497,P1004,31.66
9000255,200039,P1004,14.8
9000256,201046,P1004,60.07
9000257,205650,P1004,136.12
9000258,205790,P1002,139.48
9000259,210238,P1006,74.62
9000260,205756,P1006,186.61
9000261,208442,P1005,32
9000262,209360,P1002,112.2
9000263,203147,P1003,31.1
9000264,211537,P1005,160.03
9000265,211274,P1005,42.82
9000266,208457,P1002,33.18
9000267,200555,P1005,38.03
9000268,203274,P1003,77.63
9000269,201587,P1002,13.73
9000270,208015,P1001,113.69
9000271,200305,P1006,54.09
9000272,204157,P1001,105.99
9000273,200037,P1002,136.82
9000274,209187,P1001,47.33
9000275,204498,P1001,159.6
9000276,208083,P1006,51.89
9000277,202029,P1004,86.35
9000278,211692,P1004,50.33
9000279,205166,P1005,59.3
9000280,210366,P1005,31.91
9000281,211815,P1006,74.03
9000282,200552,P1003,32.64
9000283,211538,P1006,25.98
9000284,203473,P1006,126.83
9000285,211197,P1006,54.32
9000286,210315,P1001,52.02
9000287,200928,P1004,77.24
9000288,207187,P1001,176.29
9000289,200972,P1006,152.67
9000290,204118,P1001,32.25
9000291,210547,P1003,120.48
9000292,200666,P1004,302.13
9000293,207001,P1006,78.33
9000294,209124,P1004,5.23
9000295,207999,P1004,83.84
9000296,200019,P1006,104.37
9000297,208097,P1001,59.39
9000298,201111,P1001,65.49
9000299,209630,P1002,97.11
9000300,211883,P1001,97.58
9000301,211548,P1004,33.11
9000302,209282,P1001,94.79
9000303,204042,P1005,48.65
9000304,210385,P1005,84.17
9000305,206956,P1001,75.7
9000306,205707,P1006,178.46
9000307,207032,P1006,66.96
9000308,202020,P1006,63.62
9000309,201486,P1002,30.53
9000310,206387,P1003,49.23
9000311,206750,P1002,144.08
9000312,205093,P1005,19.38
9000313,208364,P1003,246.57
9000314,201950,P1001,72.37
9000315,205346,P1001,44.97
9000316,201984,P1001,104
9000317,204979,P1001,154.63
9000318,203088,P1005,72.9
9000319,208454,P1001,178.37
9000320,211280,P1003,50.97
9000321,208388,P1005,94.79
9000322,211803,P1006,42.7
9000323,201430,P1006,127.54
9000324,208416,P1005,24.09
9000325,203447,P1002,41.76
9000326,208649,P1005,151.15
9000327,205943,P1001,23.17
9000328,208761,P1005,147.24
9000329,201400,P1005,48.97
9000330,206189,P1003,34.54
9000331,204866,P1006,34.49
9000332,202123,P1004,221.55
9000333,202540,P1004,168.1
9000334,210497,P1006,74.64
9000335,207874,P1006,51.38
9000336,210530,P1004,58.15
9000337,207335,P1005,36.39
9000338,208487,P1001,46.47
9000339,210573,P1001,60.97
9000340,211164,P1003,115.47
9000341,200667,P1005,49.87
9000342,211721,P1002,67.48
9000343,207002,P1002,57.62
9000344,206022,P1002,80.54
9000345,209970,P1002,54.73
9000346,209061,P1004,152.46
9000347,203332,P1005,16.93
9000348,207375,P1001,33.97
9000349,207561,P1006,118.79
9000350,201375,P1005,233.21
9000351,200524,P1004,122.67
9000352,203780,P1002,33.84
9000353,208630,P1001,270.62
9000354,200811,P1002,245.37
9000355,209003,P1001,86.53
9000356,210607,P1004,35.8
9000357,204515,P1003,122.84
9000358,200264,P1002,88.4
9000359,208343,P1004,217.07
9000360,206426,P1003,148.41
9000361,208987,P1006,121.47
9000362,202125,P1003,91.33
9000363,204781,P1006,175.11
9000364,201759,P1006,87.9
9000365,201204,P1002,172.63
9000366,201984,P1001,58.47
9000367,206110,P1004,76.47
9000368,210489,P1003,113.73
9000369,202525,P1003,73.2
9000370,205914,P1004,59.51
9000371,207778,P1003,112.98
9000372,204078,P1001,167.44
9000373,200047,P1006,28.9
9000374,211951,P1003,64.67
9000375,208254,P1005,123.45
9000376,206530,P1006,15.89
9000377,203995,P1004,162.31
9000378,203628,P1006,20.29
9000379,203745,P1003,11.71
9000380,204433,P1006,27.15
9000381,207278,P1006,48.88
9000382,208323,P1004,34.18
9000383,209085,P1006,38.3
9000384,201439,P1003,60.58
9000385,203817,P1003,33.34
9000386,209069,P1006,22.93
9000387,208137,P1003,140.9
9000388,210570,P1001,31.09
9000389,201536,P1006,105.59
9000390,205683,P1003,101.93
9000391,202595,P1004,24.22
9000392,205231,P1004,146.54
9000393,209141,P1005,194.6
9000394,201712,P1004,90.81
9000395,206067,P1005,154
9000396,205056,P1003,227.88
9000397,200460,P1002,32.62
9000398,209143,P1006,161.97
9000399,209660,P1001,70.54
9000400,204952,P1006,114.81
9000401,201036,P1006,53.01
9000402,207415,P1002,95.05
9000403,211948,P1003,74.48
9000404,200524,P1003,135.8
9000405,204644,P1001,91.16
9000406,202628,P1001,52.38
9000407,211457,P1003,85.58
9000408,202438,P1003,151.83
9000409,210471,P1003,163.77
9000410,211735,P1005,66.4
9000411,209537,P1002,103.91
9000412,200533,P1001,62.78
9000413,201427,P1006,207.7
9000414,202576,P1003,49.15
9000415,211289,P1002,72.22
9000416,200376,P1002,50.24
9000417,207815,P1002,134.5
9000418,207649,P1003,147.4
9000419,204049,P1002,62.84
9000420,207812,P1004,135.45
9000421,200256,P1001,148.01
9000422,204133,P1001,143.81
9000423,209453,P1006,84.77
9000424,200435,P1003,187.17
9000425,207413,P1002,176.29
9000426,205203,P1004,95.88
9000427,210717,P1002,66.87
9000428,202050,P1002,14.22
9000429,211341,P1001,122.97
9000430,205104,P1006,169.31
9000431,207366,P1005,77.21
9000432,204459,P1003,14.75
9000433,208884,P1003,42.29
9000434,202645,P1005,69.6
9000435,208379,P1005,162.81
9000436,210067,P1003,108.54
9000437,206684,P1005,60.24
9000438,208284,P1003,310.48
9000439,205764,P1002,185.47
9000440,205629,P1002,207.71
9000441,205569,P1002,113.6
9000442,204781,P1003,88.69
9000443,210485,P1003,83.45
9000444,201305,P1005,81.07
9000445,211503,P1003,137.89
9000446,207213,P1003,74.24
9000447,203601,P1003,132.87
9000448,206030,P1001,50.15
9000449,206818,P1004,57.88
9000450,210829,P1005,60.72
9000451,209999,P1001,63.59
9000452,211589,P1004,34.92
9000453,201229,P1003,136.4
9000454,209683,P1002,22.28
9000455,211842,P1006,227.79
9000456,210366,P1004,100.25
9000457,203476,P1004,266.29
9000458,205930,P1005,190.29
9000459,208750,P1005,73.92
9000460,204471,P1005,20.72
9000461,203777,P1002,44.2
9000462,205729,P1005,168.1
9000463,210246,P1004,104.99
9000464,206354,P1003,57.91
9000465,205427,P1001,41.98
9000466,209780,P1006,99.28
9000467,201111,P1004,167.58
9000468,201807,P1002,95.65
9000469,203284,P1001,53.91
9000470,207183,P1004,175.73
9000471,204130,P1005,124.06
9000472,210836,P1005,39.06
9000473,205334,P1006,66.18
9000474,202661,P1003,103.33
9000475,205946,P1002,133.81
9000476,203443,P1005,30.4
9000477,211567,P1003,12.26
9000478,210073,P1002,86.2
9000479,208673,P1001,25.62
9000480,207797,P1006,77.42
9000481,200160,P1004,74.12
9000482,211547,P1003,193.57
9000483,207508,P1004,176.42
9000484,207680,P1001,30.49
9000485,206585,P1002,8.39
9000486,211355,P1003,169.47
9000487,204213,P1002,41.04
9000488,209890,P1005,75.29
9000489,211341,P1006,73.39
9000490,208070,P1001,190.28
9000491,210541,P1003,25.34
9000492,202273,P1001,45.56
9000493,201264,P1006,38.21
9000494,202554,P1006,85.73
9000495,201762,P1005,179.52
9000496,210322,P1005,4.81
9000497,204516,P1004,55.01
9000498,203994,P1006,62.8
9000499,209048,P1002,100.6
9000500,208210,P1005,115.73
9000501,211931,P1006,29.67
9000502,205208,P1001,150.52
9000503,200478,P1006,103.88
9000504,205494,P1004,43.55
9000505,201003,P1006,8.39
9000506,200127,P1002,44.36
9000507,204403,P1002,59.34
9000508,209835,P1004,134.03
9000509,201818,P1001,70.98
9000510,203725,P1006,91.84
9000511,206937,P1005,61.67
9000512,204033,P1003,81.75
9000513,202100,P1001,47.32
9000514,200857,P1005,99.89
9000515,209163,P1002,58.09
9000516,207471,P1006,83.53
9000517,204815,P1001,13.9
9000518,209313,P1003,95.69
9000519,204992,P1003,173.35
9000520,206113,P1004,186.89
9000521,209729,P1002,261.39
9000522,205714,P1005,133.3
9000523,207083,P1002,68.74
9000524,209235,P1003,32.67
9000525,206107,P1006,91.4
9000526,201157,P1006,64.09
9000527,200531,P1004,138.55
9000528,206470,P1004,143.92
9000529,202696,P1006,63.26
9000530,208957,P1006,50.43
9000531,205435,P1005,16.76
9000532,204382,P1002,182
9000533,210080,P1004,59.73
9000534,210479,P1002,66.88
9000535,200472,P1006,33.54
9000536,205464,P1006,302.57
9000537,206035,P1005,88.79
9000538,201387,P1003,36.74
9000539,211234,P1001,61.39
9000540,211684,P1006,75.64
9000541,211808,P1003,40.82
9000542,205453,P1006,67.6
9000543,201217,P1002,37.98
9000544,209004,P1003,90.66
9000545,208882,P1004,94.37
9000546,200936,P1003,106.65
9000547,207266,P1003,113.75
9000548,209674,P1002,92.25
9000549,200440,P1004,64.72
9000550,201818,P1002,93.39
9000551,208176,P1005,96.96
9000552,201495,P1002,144.19
9000553,206254,P1002,65.43
9000554,203307,P1001,81.15
9000555,200371,P1005,61.35
9000556,205080,P1005,42.89
9000557,205548,P1003,174.84
9000558,205805,P1002,75.28
9000559,200388,P1002,182.97
9000560,205123,P1002,31.12
9000561,205794,P1002,41.54
9000562,200414,P1001,40.15
9000563,200854,P1005,12.17
9000564,207141,P1002,129.36
9000565,200655,P1002,103.15
9000566,208874,P1002,94.08
9000567,206274,P1003,120.48
9000568,211706,P1004,50.18
9000569,211401,P1003,105.86
9000570,206628,P1005,86.19
9000571,209120,P1001,163.59
9000572,211146,P1002,132.78
9000573,202801,P1001,96.52
9000574,211386,P1003,67.06
9000575,208996,P1001,24.18
9000576,202541,P1005,320.55
9000577,200714,P1003,86.78
9000578,200794,P1006,71.56
9000579,211159,P1003,96.72
9000580,202030,P1004,24.88
9000581,200238,P1005,83.97
9000582,208904,P1006,160.76
9000583,208627,P1005,109.14
9000584,203122,P1001,238.59
9000585,204039,P1004,40.77
9000586,201343,P1001,198.52
9000587,204005,P1006,25.07
9000588,211283,P1003,67.42
9000589,205683,P1006,46.28
9000590,208176,P1003,169.91
9000591,204873,P1002,95.24
9000592,211460,P1006,180.58
9000593,203434,P1001,26.54
9000594,203941,P1004,37.27
9000595,207968,P1004,52.23
9000596,202300,P1006,74.71
9000597,200153,P1001,56.2
9000598,201636,P1001,46.08
9000599,207184,P1001,175.63
9000600,211283,P1003,140.07
9000601,205520,P1002,57.96
9000602,201964,P1005,136.54
9000603,211000,P1001,59.07
9000604,209597,P1002,36.21
9000605,209483,P1006,79.87
9000606,202532,P1004,63.05
9000607,201973,P1005,93.29
9000608,210321,P1001,364.14
9000609,211728,P1003,244.05
9000610,200678,P1006,232.11
9000611,201659,P1004,44.26
9000612,204562,P1003,54.69
9000613,211280,P1002,52.64
9000614,204808,P1002,124.97
9000615,202519,P1004,109.44
9000616,211676,P1004,34.32
9000617,204865,P1004,95.33
9000618,210737,P1001,130.66
9000619,205514,P1006,71.58
9000620,204599,P1003,148.3
9000621,201241,P1004,95.82
9000622,205080,P1001,17.6
9000623,207702,P1005,47.29
9000624,208554,P1005,71.14
9000625,200074,P1004,140.04
9000626,207656,P1004,8.37
9000627,206937,P1003,16.7
9000628,210695,P1004,45.93
9000629,210097,P1001,30.01
9000630,208219,P1001,229.29
9000631,207046,P1002,147.96
9000632,206164,P1006,30.05
9000633,209972,P1006,78.56
9000634,210773,P1005,45.81
9000635,202500,P1006,152.67
9000636,203959,P1002,5.55
9000637,205770,P1006,121.75
9000638,204395,P1004,127.8
9000639,202140,P1004,83.35
9000640,204204,P1005,113.46
9000641,207483,P1005,62.84
9000642,205855,P1002,140.31
9000643,206521,P1006,179.65
9000644,200416,P1005,19.42
9000645,207804,P1003,49.92
9000646,205417,P1001,100.6
9000647,211499,P1002,33.81
9000648,203787,P1006,429.23
9000649,206156,P1002,162.51
9000650,202909,P1003,123.43
9000651,206035,P1004,171.96
9000652,202960,P1005,215.66
9000653,201378,P1002,20.45
9000654,209539,P1001,94.19
9000655,206102,P1001,112.42
9000656,204612,P1002,55.68
9000657,202746,P1004,158.5
9000658,211730,P1003,163.79
9000659,206536,P1004,231.08
9000660,204937,P1006,20.67
9000661,209505,P1006,67.29
9000662,208345,P1001,28.88
9000663,203723,P1001,59.58
9000664,203653,P1005,25.81
9000665,207623,P1001,72.05
9000666,209885,P1004,118.86
9000667,204195,P1006,73.15
9000668,202549,P1001,226.56
9000669,203657,P1005,106.03
9000670,203292,P1005,138.5
9000671,207001,P1006,65.31
9000672,203499,P1006,60.41
9000673,211422,P1002,13.63
9000674,201548,P1004,175.18
9000675,204317,P1005,142.72
9000676,208978,P1001,9.34
9000677,202325,P1001,196.08
9000678,205161,P1001,58.8
9000679,206768,P1003,71.88
9000680,201507,P1005,68.72
9000681,207053,P1004,57.83
9000682,206414,P1002,200.19
9000683,208450,P1004,59.18
9000684,205841,,157.12
9000685,209182,P1006,72
9000686,206043,P1004,117.39
9000687,207107,P1003,135.39
9000688,208522,P1004,148.78
9000689,208496,P1002,100.29
9000690,200796,P1005,79.39
9000691,204623,P1001,143.84
9000692,205884,P1004,188.43
9000693,207232,P1005,29.77
9000694,200618,P1001,74.63
9000695,200849,P1006,12.96
9000696,211675,P1003,110.11
9000697,201018,P1005,56.98
9000698,207893,P1002,232.68
9000699,203150,P1002,205.66
9000700,202024,P1001,44.9
9000701,203351,P1004,57.33
9000702,210998,P1001,68.88
9000703,205668,P1002,80.93
9000704,202093,P1004,88.22
9000705,200207,P1001,34.85
9000706,204241,P1001,36.35
9000707,210692,P1002,49.89
9000708,200568,P1001,71.55
9000709,205798,P1005,14.08
9000710,204441,P1005,18.51
9000711,201960,P1006,26.99
9000712,208748,P1006,161.7
9000713,205897,P1002,84.88
9000714,201458,P1006,16.66
9000715,211804,P1003,207.38
9000716,209293,P1004,48.2
9000717,205955,P1003,41.08
9000718,205108,P1004,191.73
9000719,207028,P1001,5.99
9000720,209596,P1005,174.82
9000721,201230,P1001,131.69
9000722,202081,P1006,51.02
9000723,202016,P1001,174.84
9000724,210793,P1005,6.46
9000725,205424,P1006,53.56
9000726,208699,P1003,67.14
9000727,202206,P1005,41.57
9000728,200577,P1004,55.29
9000729,204062,P1004,150.53
9000730,205732,P1001,35.19
9000731,204176,P1003,55.04
9000732,200784,P1004,135.53
9000733,205574,P1006,17.7
9000734,208641,P1006,20.9
9000735,203209,P1003,5.04
9000736,204345,P1004,40.68
9000737,208338,P1006,86.73
9000738,209259,P1005,105.9
9000739,203665,P1002,290.99
9000740,210556,P1003,39.17
9000741,208151,P1004,47.32
9000742,202110,P1005,153.88
9000743,202886,P1001,158.98
9000744,209693,P1002,90.11
9000745,206663,P1001,56.05
9000746,204614,P1005,60.33
9000747,209344,P1006,94.2
9000748,204573,P1004,99.52
9000749,207151,P1001,21.55
9000750,207826,P1003,56.74
9000751,202319,P1001,85.21
9000752,211651,P1005,144.55
9000753,207191,P1006,21.88
9000754,208163,P1006,81.22
9000755,205597,P1002,46.64
9000756,202644,P1006,25.32
9000757,207341,P1006,148.71
9000758,200006,P1005,74.06
9000759,206655,P1006,85.71
9000760,201333,P1006,66.95
9000761,202292,P1003,109.17
9000762,203525,P1003,130.09
9000763,210402,P1004,147.63
9000764,200825,P1001,76.75
9000765,203967,P1002,42.97
9000766,200794,P1002,110.05
9000767,204787,P1006,18.22
9000768,211319,P1003,10.66
9000769,202475,P1003,87.99
9000770,201814,P1001,37.62
9000771,207819,P1001,127.37
9000772,203994,P1005,54.05
9000773,206250,P1005,40.51
9000774,211552,P1006,54.96
9000775,201151,P1005,107.73
9000776,206384,P1001,160.07
9000777,210479,P1003,102.18
9000778,208285,P1006,77.73
9000779,211662,P1005,67.36
9000780,203440,P1004,46.01
9000781,207974,P1003,118.55
9000782,207967,P1002,15.33
9000783,208048,P1006,174.02
9000784,201951,P1006,149.26
9000785,209030,P1003,27.35
9000786,204140,P1004,68.26
9000787,201679,P1003,105.09
9000788,210844,P1004,512.23
9000789,205798,P1006,128.12
9000790,208726,P1003,154.46
9000791,204394,P1002,53.08
9000792,205529,P1005,124.23
9000793,200476,P1001,21.32
9000794,205477,P1004,219.75
9000795,206734,P1006,106.58
9000796,208878,P1006,96.62
9000797,206706,P1003,186.09
9000798,204759,P1004,14.24
9000799,201075,P1001,272.73
9000800,205173,P1003,144.69
9000801,208831,P1002,224.71
9000802,206790,P1004,254.05
9000803,202588,P1006,120.36
9000804,206695,P1005,146.27
9000805,206540,P1003,90.25
9000806,205507,P1002,20.33
9000807,207484,P1001,80.72
9000808,207230,P1004,31.4
9000809,209357,P1003,57.08
9000810,201793,P1006,41.83
9000811,206739,P1001,27.8
9000812,208838,P1005,88.19
9000813,204720,P1006,187.9
9000814,201945,P1001,56.61
9000815,206085,P1002,17.15
9000816,209671,P1004,126.3
9000817,200634,P1005,101.65
9000818,206850,P1003,61.78
9000819,201077,P1001,211.74
9000820,211193,P1003,70.13
9000821,208340,P1002,64.53
9000822,204992,P1006,142.04
9000823,209151,P1003,111.78
9000824,207875,P1006,155.09
9000825,208986,P1002,136.89
9000826,200879,P1006,120.58
9000827,206832,P1004,182.59
9000828,203630,P1003,26.42
9000829,203640,P1005,65.73
9000830,201941,P1002,46.26
9000831,205431,P1006,230.54
9000832,207996,P1001,71.78
9000833,208218,P1004,84.35
9000834,201449,P1001,67.26
9000835,203380,P1006,44.63
9000836,205962,P1005,56.68
9000837,200604,P1002,58.24
9000838,203022,P1003,166.49
9000839,204482,P1006,121.04
9000840,202008,P1003,231.32
9000841,201293,P1006,184.78
9000842,209728,P1001,119.18
9000843,207045,P1001,91.12
9000844,202917,P1001,160.16
9000845,205844,P1001,63.39
9000846,200956,P1001,46.59
9000847,208572,P1006,58.08
9000848,204694,P1004,71.32
9000849,205102,P1003,103.57
9000850,202521,P1004,56.57
9000851,207929,P1005,154.71
9000852,208540,P1006,84.17
9000853,207073,P1002,90.06
9000854,207400,P1006,133.96
9000855,209764,P1002,218.07
9000856,211350,P1006,23.49
9000857,203025,P1006,106.06
9000858,210183,P1005,108.72
9000859,201548,P1005,42.87
9000860,203662,P1001,87.06
9000861,208441,P1001,214.15
9000862,210298,P1006,117.94
9000863,208209,P1003,316.44
9000864,203026,P1001,278.85
9000865,205120,P1005,160.1
9000866,210208,P1005,133.07
9000867,204171,P1002,32.06
9000868,201735,P1001,335.44
9000869,208374,P1001,34.78
9000870,211107,P1002,135.57
9000871,211305,P1003,19.73
9000872,206751,P1002,107.46
9000873,204874,P1002,184.83
9000874,205472,P1001,131.03
9000875,200858,P1005,72.19
9000876,204820,P1001,51.83
9000877,203745,P1005,56.94
9000878,204515,P1001,57.08
9000879,210033,P1006,85.12
9000880,201881,P1006,15.2
9000881,209513,P1003,193.88
9000882,207550,P1005,76.81
9000883,210849,P1006,28.22
9000884,204257,P1005,10.81
9000885,203737,P1001,52.58
9000886,210531,P1006,54.22
9000887,201557,P1002,14.45
9000888,201480,P1004,76.58
9000889,209192,P1002,39.16
9000890,205598,P1005,122
9000891,205286,P1001,160.54
9000892,207001,P1001,124.8
9000893,208457,P1003,91.28
9000894,208719,P1002,51.82
9000895,203968,P1001,106.86
9000896,207837,P1001,55.02
9000897,202853,P1006,124.11
9000898,205102,P1001,52.94
9000899,203012,P1002,62.98
9000900,208750,P1002,102.4
9000901,200215,P1006,71.42
9000902,208492,P1002,40.65
9000903,209264,P1002,131.79
9000904,204564,P1006,213.25
9000905,200616,P1005,13.62
9000906,205120,P1002,141.88
9000907,209899,P1003,86.59
9000908,204240,P1002,67.12
9000909,206442,P1005,142.76
9000910,209300,P1002,17.76
9000911,211681,P1003,112.02
9000912,201711,P1001,360.3
9000913,200951,P1001,31.43
9000914,209754,P1006,91.87
9000915,209939,P1003,78.43
9000916,207034,P1003,192.62
9000917,202697,P1001,23.26
9000918,204439,P1002,192.85
9000919,206749,P1005,67.09
9000920,211272,P1003,59.25
9000921,200335,P1003,257.27
9000922,211456,P1001,110.71
9000923,209477,P1003,43.03
9000924,211585,P1002,29.84
9000925,204574,P1001,134.29
9000926,201207,P1005,74.95
9000927,209895,P1002,46.59
9000928,205868,P1003,271.36
9000929,205210,P1001,70.16
9000930,211014,P1002,75.68
9000931,207292,P1003,105.64
9000932,200107,P1004,169.21
