customer_id,type_cd,age,created_at,end_date
200126,A,40,09/11/2024,
200127,A,46,22/04/2023,
200128,A,51,19/03/2024,
200129,A,34,01/08/2022,
200130,A,49,19/08/2024,
200131,A,37,03/09/2022,
200132,A,39,30/10/2024,
200133,P,51,21/10/2024,
200134,A,38,26/03/2025,
200135,A,49,21/05/2022,
200136,A,52,02/10/2022,
200137,B,71,08/07/2023,12/06/2024
200138,P,47,13/04/2022,
200139,A,37,13/04/2025,
200140,B,43,22/09/2023,02/02/2024
200141,A,42,11/02/2022,
200142,B,58,22/10/2024,
200143,A,58,23/06/2022,
200144,A,31,29/03/2024,
200145,A,26,09/10/2023,
200146,A,25,08/03/2023,
200147,B,71,08/04/2023,
200148,P,52,28/09/2022,
200149,B,41,10/05/2022,
200150,A,53,06/06/2023,
200151,A,45,26/10/2023,
200152,A,31,09/04/2024,
200153,A,18,05/12/2023,
200154,B,35,23/10/2023,27/12/2024
200155,A,57,12/02/2022,
200156,A,55,08/06/2023,
200157,B,44,04/02/2025,
200158,P,33,06/06/2022,
200170,A,58,24/11/2023,
200171,B,47,22/07/2024,
200172,B,40,28/09/2023,
200173,P,27,25/10/2023,
200174,A,58,16/09/2024,
200175,A,40,12/11/2023,
200176,B,42,23/01/2025,25/06/2026
200177,A,55,03/01/2023,
200178,A,45,07/04/2024,
200179,A,45,15/03/2025,
200180,A,56,15/07/2025,
200181,A,44,26/10/2024,
200182,P,48,07/05/2025,
200183,A,58,05/01/2022,
200184,A,54,20/06/2024,
200185,B,51,19/11/2023,10/01/2024
200186,A,52,27/04/2023,
200187,A,65,13/12/2023,
200187,B,57,24/03/2025,23/12/2025
200189,A,38,02/02/2023,
200190,A,57,25/11/2022,
200191,A,43,23/05/2023,
200192,B,32,10/03/2023,22/06/2023
200193,A,31,21/11/2022,
200194,B,18,02/11/2023,
200195,A,41,02/02/2023,
200196,A,25,16/01/2023,
200197,P,59,13/06/2022,
200198,X,42,30/06/2023,
200199,A,38,08/06/2025,
200200,A,40,18/02/2023,
200201,P,38,01/12/2022,
200202,B,45,22/07/2024,
200203,B,37,22/09/2024,
200204,A,46,05/10/2022,
200205,A,44,17/09/2024,
200206,P,46,18/11/2022,
200207,P,22,02/02/2022,
200208,B,36,14/06/2025,
200209,A,57,02/08/2023,
200210,B,64,21/08/2024,11/11/2025
200211,X,51,10/11/2024,17/09/2025
200212,B,33,04/07/2025,06/10/2026
200213,A,37,31/08/2023,
200214,B,75,19/04/2023,
200215,A,22,11/06/2025,
200216,A,49,26/03/2024,
200217,A,62,06/02/2022,
200218,P,25,26/04/2025,
200219,A,34,24/06/2024,
200220,B,49,23/01/2025,
200221,A,25,20/02/2023,
200222,A,35,16/06/2024,
200223,P,48,18/08/2024,
200224,A,34,17/01/2024,
200225,B,56,18/03/2022,
200226,X,39,24/01/2022,
200227,A,38,31/01/2023,
200228,A,22,12/10/2023,
200229,A,45,24/04/2025,
200230,B,55,31/03/2023,18/07/2025
200231,B,48,29/04/2023,
200232,A,28,01/02/2023,
200233,B,46,31/08/2022,
200234,A,34,05/04/2025,
200235,A,46,13/08/2023,
200236,P,50,03/01/2022,
200237,P,38,17/10/2024,
200238,A,53,27/06/2023,
200239,P,41,25/03/2023,
200240,B,45,14/03/2024,14/12/2024
200241,P,49,11/03/2023,
200242,B,42,20/05/2024,01/11/2025
200243,A,55,27/10/2022,
200244,A,33,23/02/2025,
200245,P,59,15/04/2023,
200246,A,33,11/04/2023,
200247,A,35,14/11/2024,
200248,B,42,19/05/2025,
200249,P,62,03/10/2023,
200250,B,55,05/01/2025,12/01/2027
200251,B,31,02/12/2024,22/10/2026
200252,A,27,06/11/2024,
200253,A,28,24/04/2024,
200254,A,46,19/07/2023,
200255,A,34,10/08/2024,
200256,B,60,05/03/2022,31/07/2022
200257,B,54,22/11/2023,27/01/2026
200258,A,42,03/07/2025,
200259,A,49,14/01/2023,
200260,A,39,22/03/2023,
200261,A,40,01/01/2024,
200262,A,25,02/05/2022,
200263,A,36,22/07/2025,
200264,P,39,13/11/2022,
200265,A,79,23/08/2024,
200266,B,37,11/10/2024,
200267,B,37,30/03/2024,
200268,B,73,10/08/2024,
200269,X,38,12/09/2022,
200270,A,70,19/10/2023,
200271,P,60,11/03/2022,
200272,B,23,30/06/2023,05/05/2025
200273,A,40,17/01/2022,
200274,B,18,14/10/2023,25/08/2025
200275,A,47,31/03/2023,
200285,A,48,24/02/2025,
200286,A,57,15/06/2025,
200287,B,54,23/03/2025,09/05/2026
200288,A,44,20/03/2022,
200289,P,34,05/03/2022,
200290,A,22,09/07/2025,
200291,P,57,15/02/2024,
200292,P,48,16/03/2024,
200293,B,48,28/06/2022,
200294,P,54,16/08/2022,
200295,A,77,18/08/2024,
200296,A,32,26/11/2024,
200297,A,44,29/11/2022,
200298,B,44,29/09/2022,28/12/2022
200299,A,68,13/05/2022,
200300,B,40,08/05/2025,
200301,P,49,07/05/2023,
200302,A,30,01/11/2024,
200303,A,53,07/10/2022,
200304,A,37,25/08/2024,
200305,B,45,13/06/2024,
200306,A,52,29/10/2022,
200307,P,43,05/06/2024,
200308,X,41,17/02/2024,18/04/2025
200309,P,58,01/05/2024,
200310,A,31,02/09/2022,
200311,A,45,21/02/2023,
200312,B,31,20/08/2022,
200313,A,68,30/01/2023,
200314,P,39,15/03/2025,
200315,P,32,10/03/2025,
200316,A,49,24/08/2023,
200317,A,54,03/02/2025,
200318,X,41,28/03/2024,
200319,P,58,02/02/2025,
200320,P,60,19/12/2024,
200321,P,33,12/01/2023,
200322,A,29,13/07/2023,
200323,B,36,17/05/2025,
200324,A,39,06/06/2024,
200325,A,28,06/03/2022,
200326,B,41,11/05/2024,
200327,B,31,10/05/2023,
200328,A,34,07/01/2022,
200329,A,67,19/06/2025,
200330,X,48,12/03/2024,
200331,A,58,08/09/2022,
200332,B,27,11/04/2022,19/07/2022
200333,B,22,28/01/2023,
200334,B,43,13/02/2023,13/02/2024
200335,P,40,23/08/2022,
200336,B,30,17/09/2022,
200353,A,32,20/01/2022,
200354,P,29,03/06/2025,
200355,X,54,10/02/2025,
200356,A,36,27/09/2024,
200357,A,56,29/06/2022,
200358,A,49,15/10/2023,
200359,P,49,17/01/2024,
200360,A,36,21/06/2025,
200361,A,39,19/01/2024,
200362,A,58,28/11/2022,
200363,A,32,17/07/2024,
200364,A,41,29/09/2023,
200365,A,34,03/12/2023,
200366,A,29,12/08/2022,
200367,B,64,31/08/2023,
200368,B,33,04/12/2024,
200369,B,44,06/03/2024,29/05/2026
200370,B,51,09/12/2024,21/07/2025
200371,A,53,02/12/2022,
200372,B,45,29/05/2025,
200373,B,58,26/08/2024,
200374,P,53,07/09/2024,
200375,A,42,08/06/2022,
200376,A,57,11/07/2025,
200377,A,61,14/02/2022,
200378,P,57,07/03/2023,
200379,P,45,28/02/2025,
200380,A,51,13/06/2025,
200381,A,61,14/01/2024,
200382,A,40,04/08/2022,
200383,B,44,03/11/2023,
200384,A,27,23/01/2023,
200385,B,52,28/10/2022,
200386,B,43,17/11/2023,07/03/2024
200387,A,32,17/03/2024,
200388,B,66,27/02/2024,20/12/2025
200389,P,18,22/08/2023,
200390,X,31,10/05/2024,
200391,A,27,10/12/2022,
200392,A,50,31/05/2022,
200393,B,30,08/07/2025,
200394,A,30,23/11/2024,
200395,A,43,13/07/2025,
200396,A,55,09/07/2022,
200397,B,56,08/03/2025,29/07/2027
200398,A,44,03/05/2023,
200399,A,50,02/08/2022,
200400,A,39,18/06/2025,
200401,A,53,23/01/2025,
200402,B,54,13/03/2022,
200403,A,59,07/01/2024,
200404,A,32,07/11/2024,
200405,A,48,24/05/2023,
200406,A,28,15/10/2023,
200407,P,38,16/03/2024,
200408,A,58,09/11/2022,
200409,A,25,13/04/2025,
200410,A,51,08/12/2022,
200411,A,50,24/08/2023,
200412,A,34,22/07/2023,
200413,P,44,23/06/2023,
200414,B,39,03/07/2023,14/09/2024
200415,A,21,26/04/2025,
200416,A,55,28/12/2023,
200417,B,30,21/11/2024,
200418,A,51,05/01/2024,
200419,A,51,10/02/2023,
200420,B,43,16/11/2023,
200421,A,36,05/04/2025,
200422,B,31,25/08/2024,
200423,B,36,29/07/2022,22/12/2023
200424,A,36,28/02/2023,
200425,P,49,09/01/2025,
200426,A,45,21/11/2022,
200427,B,20,19/11/2024,
200428,P,43,25/11/2022,
200429,B,49,07/01/2022,
200430,A,46,16/12/2024,
200431,B,34,27/05/2023,27/09/2023
200432,X,37,13/01/2025,29/06/2025
200433,A,67,06/04/2023,
200434,P,53,06/09/2023,
200435,A,53,06/11/2024,
200436,P,71,13/11/2024,
200437,A,31,12/04/2022,
200438,A,52,20/10/2022,
200439,B,51,09/12/2023,
200440,P,53,16/01/2024,
200441,A,24,07/09/2023,
200442,A,33,24/09/2022,
200443,B,42,06/03/2023,07/07/2025
200444,A,53,13/01/2024,
200445,A,57,18/01/2024,
200446,P,63,14/06/2025,
200447,B,49,13/09/2022,
200448,B,66,24/05/2022,
200449,A,43,21/03/2023,
200450,B,50,18/10/2024,
200451,A,50,07/02/2022,
200452,P,25,08/12/2024,
200453,A,36,04/12/2024,
200454,P,49,09/11/2022,
200455,A,31,07/02/2023,
200456,A,40,23/05/2024,
200457,A,47,23/06/2022,
200458,B,43,10/08/2022,01/01/2025
200459,A,53,13/07/2024,
200460,A,56,01/02/2024,
200461,P,44,03/03/2022,
200462,A,44,12/10/2023,
200463,P,66,05/05/2022,
200464,A,55,25/07/2023,
200465,A,55,22/07/2022,
200466,A,37,08/02/2022,
200467,P,55,11/07/2025,
200468,A,51,12/01/2025,
200469,A,20,09/08/2024,
200470,P,38,29/07/2022,
200471,B,63,26/12/2022,
200472,B,61,31/05/2022,
200473,A,72,01/08/2022,
200474,A,57,03/09/2023,
200475,P,32,22/07/2024,
200476,B,43,22/03/2022,26/07/2023
200477,B,52,28/07/2022,11/07/2024
200478,A,51,25/09/2023,
200479,B,41,25/01/2023,
200480,A,38,01/06/2023,
200481,A,40,17/05/2025,
200482,A,63,11/12/2024,
200483,P,43,10/04/2024,
200484,A,78,24/10/2023,
200485,A,48,27/02/2024,
200486,B,49,10/06/2023,
200487,P,25,25/12/2022,
200488,A,27,09/08/2024,
200489,A,44,15/03/2024,
200490,B,27,09/04/2022,
200491,A,45,02/08/2022,
200492,B,47,11/05/2023,31/07/2025
200493,B,59,09/12/2023,
200494,P,62,21/06/2025,
200495,A,42,11/01/2022,
200511,A,31,20/07/2023,
200512,A,61,09/03/2024,
200513,P,52,01/02/2025,
200514,B,47,19/04/2023,10/06/2023
200515,A,27,26/11/2023,
200516,B,52,22/03/2022,
200517,A,46,05/07/2025,
200518,B,42,06/09/2024,
200519,A,38,12/02/2025,
200520,A,24,23/02/2024,
200521,P,49,14/08/2022,
200522,B,24,03/09/2022,28/01/2024
200523,B,42,29/06/2022,07/06/2024
200524,P,43,13/11/2023,
200525,P,31,25/10/2024,
200526,X,73,10/01/2023,
200527,A,18,14/07/2024,
200528,A,53,27/09/2023,
200529,B,40,17/03/2023,
200530,A,26,31/05/2025,
200531,P,41,23/01/2023,
200532,P,22,05/10/2023,
200533,A,56,04/11/2023,
200534,P,53,10/08/2024,
200535,B,57,08/11/2023,22/06/2025
200536,B,41,27/02/2023,
200537,A,27,27/06/2024,
200538,B,57,21/11/2022,
200539,P,66,06/08/2023,
200540,A,53,07/08/2023,
200541,B,49,07/10/2022,09/10/2024
200542,A,28,19/11/2023,
200543,P,41,11/09/2022,
200544,X,23,09/03/2022,
200545,B,36,18/10/2022,26/12/2024
200546,P,39,08/10/2023,
200547,P,55,03/06/2022,
200548,A,49,06/12/2023,
200549,A,69,30/05/2023,
200550,A,47,26/08/2023,
200551,B,51,07/09/2023,
200552,P,51,10/07/2024,
200553,A,47,24/02/2022,
200554,A,43,08/06/2024,
200555,A,58,12/09/2024,
200556,A,41,22/12/2022,
200557,A,37,11/11/2022,
200558,P,38,26/09/2022,
200559,B,72,26/04/2024,21/08/2026
200560,P,54,20/02/2025,
200561,A,48,26/06/2023,
200562,B,43,11/05/2022,18/02/2024
200563,P,64,06/08/2024,
200564,A,18,08/09/2024,
200565,A,40,08/11/2024,
200566,A,45,06/01/2024,
200567,A,33,27/05/2023,
200568,P,32,26/03/2024,
200569,B,26,05/04/2023,24/05/2023
200570,B,55,17/10/2023,
200571,A,50,15/01/2025,
200572,P,59,28/09/2022,
200573,B,33,11/01/2025,06/12/2025
200574,P,34,18/08/2022,
200575,A,28,30/05/2023,
200576,A,57,08/01/2025,
200577,A,33,28/01/2025,
200578,A,58,13/06/2025,
200579,A,55,18/04/2022,
200580,A,42,20/05/2025,
200581,A,54,04/03/2025,
200582,A,48,12/02/2023,
200583,A,46,03/04/2025,
200584,B,56,28/01/2024,
200585,B,53,21/07/2024,
200586,X,45,22/04/2022,
200587,B,53,04/04/2024,18/07/2024
200588,A,59,25/08/2023,
200589,A,26,14/05/2025,
200590,P,46,06/05/2022,
200591,P,37,16/08/2022,
200592,A,51,07/10/2023,
200593,P,36,02/07/2024,
200594,A,29,11/04/2022,
200595,A,38,10/02/2022,
200596,A,58,01/01/2025,
200597,P,43,02/07/2024,
200598,A,33,05/12/2022,
200599,P,18,01/04/2023,
200600,B,42,27/12/2022,29/08/2024
200601,A,45,17/04/2023,
200602,B,53,18/12/2024,28/04/2026
200603,A,66,19/07/2024,
200604,A,53,16/10/2023,
200605,A,42,20/10/2022,
200606,B,42,20/10/2024,
200607,A,21,10/08/2023,
200608,P,36,14/09/2024,
200609,A,53,24/06/2025,
200610,B,69,31/05/2022,
200611,B,53,03/04/2023,
200612,A,34,16/03/2025,
200613,A,46,23/08/2022,
200614,P,28,09/01/2024,
200615,B,39,20/10/2023,
200616,A,42,19/06/2024,
200617,A,37,21/05/2022,
200618,B,51,23/09/2022,
200619,A,25,11/04/2022,
200620,A,40,01/02/2022,
200621,B,50,14/02/2025,
200622,A,26,23/11/2022,
200623,A,78,10/09/2024,
200624,A,38,16/05/2023,
200625,B,41,26/01/2023,07/03/2023
200638,A,57,24/08/2024,
200639,B,32,29/05/2023,
200640,P,40,17/07/2024,
200641,A,69,27/03/2025,
200642,P,42,31/01/2025,
200643,B,69,17/01/2023,
200644,B,46,26/01/2025,05/04/2026
200645,X,31,10/12/2022,14/08/2023
200646,A,63,07/07/2023,
200647,A,48,09/04/2023,
200648,B,68,15/03/2025,
200649,A,36,14/07/2025,
200650,B,46,15/07/2024,04/12/2025
200651,A,54,28/03/2024,
200652,A,56,26/09/2022,
200653,A,53,15/11/2024,
200654,A,43,17/03/2023,
200655,B,47,04/01/2024,14/08/2024
200656,A,30,07/02/2022,
200657,A,28,22/05/2025,
200658,A,38,17/07/2025,
200659,A,35,19/05/2024,
200660,A,18,27/06/2023,
200661,A,49,09/08/2024,
200662,B,40,08/02/2023,18/04/2023
200663,B,24,03/06/2022,
200664,B,56,19/04/2025,13/06/2027
200665,A,44,01/08/2024,
200666,A,39,12/02/2024,
200667,P,59,22/12/2022,
200668,B,50,15/02/2025,
200669,X,70,05/05/2022,
200670,A,47,08/12/2024,
200671,A,49,13/09/2023,
200672,A,61,15/06/2025,
200673,P,33,03/10/2023,
200674,A,44,09/04/2024,
200675,A,28,05/06/2025,
200676,B,67,03/04/2023,31/07/2025
200677,A,58,23/03/2022,
200678,P,18,22/12/2023,
200679,A,43,03/06/2024,
200680,P,43,01/06/2023,
200681,B,58,10/10/2024,
200682,B,35,20/01/2024,
200683,A,64,10/01/2024,
200684,B,36,04/04/2022,
200685,B,58,31/03/2024,
200686,P,35,09/08/2022,
200687,A,41,03/04/2022,
200688,X,29,19/07/2023,
200689,A,44,08/05/2024,
200690,A,19,16/07/2023,
200691,B,33,18/01/2024,
200692,B,58,17/05/2023,
200693,B,59,17/03/2024,
200694,P,53,03/11/2024,
200695,A,46,07/08/2024,
200696,A,18,09/05/2023,
200697,A,69,14/10/2023,
200698,A,35,09/11/2023,
200699,A,54,29/03/2024,
200700,P,47,16/04/2025,
200701,B,41,10/12/2023,10/05/2026
200702,B,26,19/01/2023,13/02/2025
200703,B,60,06/05/2022,12/06/2023
200704,B,34,15/05/2024,
200705,B,30,05/08/2024,
200706,A,39,10/07/2023,
200707,A,46,29/04/2022,
200708,A,45,22/06/2024,
200709,A,58,03/03/2025,
200710,B,33,10/08/2024,
200711,A,35,21/11/2024,
200712,A,60,07/05/2023,
200713,A,33,29/10/2023,
200714,B,32,31/10/2024,19/01/2026
200715,P,38,07/01/2025,
200716,B,43,12/06/2025,
200717,A,35,11/09/2024,
200718,P,72,27/02/2024,
200719,P,54,03/04/2025,
200720,P,29,22/05/2025,
200721,A,38,03/04/2024,
200722,A,53,22/05/2023,
200723,A,35,11/02/2024,
200724,A,34,19/01/2025,
200725,B,81,11/02/2024,
200726,P,58,19/10/2023,
200727,A,31,08/12/2024,
200728,B,30,22/12/2024,
200729,B,36,01/05/2025,
200730,A,45,04/04/2024,
200731,X,47,26/06/2023,
200732,A,35,10/11/2023,
200733,P,23,15/12/2023,
200734,B,36,29/08/2024,
200735,P,51,03/10/2022,
200736,A,44,18/03/2025,
200737,P,18,10/05/2025,
200738,A,28,15/11/2024,
200739,B,57,22/02/2024,29/04/2026
200740,A,53,21/07/2023,
200741,A,47,22/03/2023,
200742,B,64,22/02/2023,
200743,B,50,29/06/2023,21/08/2023
200744,P,53,09/11/2022,
200745,A,50,23/10/2023,
200746,A,47,11/10/2024,
200747,B,37,16/07/2024,
200748,A,46,20/04/2023,
200749,B,46,30/08/2024,
200750,A,34,14/08/2022,
200751,B,32,10/11/2023,
200752,B,36,11/01/2025,09/08/2026
200753,A,39,23/11/2023,
200754,P,60,24/09/2023,
200755,B,48,09/05/2025,
200756,B,47,16/10/2023,
200757,B,53,15/11/2022,
200758,X,51,20/11/2023,
200759,A,42,28/03/2023,
200760,P,35,26/09/2023,
200761,A,55,07/09/2023,
200762,A,56,22/11/2023,
200763,P,30,14/01/2025,
200764,A,54,09/05/2024,
200765,A,42,29/10/2024,
200766,B,58,31/12/2023,13/03/2026
200767,A,67,02/03/2023,
200768,A,51,30/04/2023,
200769,B,62,18/02/2025,16/07/2025
200770,B,43,11/10/2022,26/02/2023
200771,B,49,08/12/2023,
200772,P,45,22/01/2023,
200773,P,61,17/05/2022,
200774,B,40,05/01/2024,07/03/2025
200775,A,41,10/11/2024,
200776,A,21,09/12/2022,
200777,B,52,10/03/2024,14/05/2024
200778,P,33,23/02/2023,
200779,A,40,08/07/2024,
200780,P,66,07/01/2024,
200781,P,65,15/04/2024,
200782,B,72,28/06/2022,
200783,B,25,29/06/2025,
200784,B,52,11/03/2022,
200785,B,30,02/08/2023,09/01/2024
200786,A,34,31/05/2025,
200787,B,59,03/12/2023,
200788,B,43,28/07/2024,
200789,A,22,04/05/2023,
200790,B,39,10/05/2025,22/06/2027
200791,B,87,11/12/2022,
200792,P,34,15/05/2025,
200793,A,39,13/08/2022,
200794,X,41,06/02/2024,
200795,A,55,17/01/2023,
200796,B,38,16/12/2024,
200797,B,25,20/06/2022,
200798,P,44,06/05/2022,
200799,B,50,14/10/2022,
200800,A,21,31/03/2023,
200801,A,26,03/08/2022,
200802,B,48,21/06/2023,
200803,B,42,27/05/2024,
200804,A,34,25/11/2023,
200805,B,66,11/08/2023,
200806,A,61,11/03/2023,
200807,X,53,18/04/2024,25/07/2025
200808,A,83,29/05/2022,
200809,B,46,13/01/2024,25/03/2025
200810,A,42,13/12/2023,
200811,A,68,21/07/2023,
200812,A,35,01/04/2024,
200813,A,18,18/01/2022,
200814,A,37,11/03/2024,
200815,X,34,27/07/2022,23/01/2023
200816,A,53,17/02/2023,
200817,B,46,02/02/2025,
200818,A,48,15/10/2024,
200819,P,48,20/04/2025,
200820,B,60,10/11/2022,
200821,A,32,27/05/2025,
200822,A,32,30/01/2025,
200823,B,38,20/01/2024,05/07/2026
200824,A,33,29/08/2022,
200825,P,55,05/10/2022,
200826,B,31,07/03/2022,
200827,B,63,20/01/2025,
200828,B,28,29/11/2023,
200829,B,22,25/06/2023,30/11/2023
200830,A,41,28/06/2023,
200831,X,68,17/01/2025,
200832,A,41,06/08/2022,
200833,A,49,27/05/2025,
200834,B,36,30/08/2023,15/11/2025
200835,B,50,03/06/2024,
200836,A,58,26/07/2024,
200837,B,41,26/10/2023,19/05/2025
200838,A,35,07/01/2025,
200839,P,68,03/12/2024,
200840,A,33,05/06/2024,
200841,B,35,19/03/2025,
200842,B,47,20/01/2023,
200843,B,34,25/02/2025,
200844,B,49,21/08/2023,
200845,A,70,09/01/2024,
200846,P,55,14/12/2022,
200847,A,37,12/01/2023,
200848,A,57,08/11/2024,
200849,B,18,22/12/2022,
200850,A,54,06/02/2025,
200851,B,41,05/02/2025,
200852,B,54,08/05/2022,
200853,B,27,26/09/2023,21/07/2025
200854,A,39,28/10/2024,
200855,B,66,26/08/2022,
200856,A,47,18/01/2022,
200857,B,39,30/01/2022,
200858,A,26,16/03/2022,
200859,A,48,12/03/2023,
200860,B,41,19/01/2025,13/07/2025
200861,B,63,30/11/2024,
200862,A,27,07/01/2022,
200863,P,54,06/07/2025,
200864,A,66,26/03/2024,
200865,A,57,02/03/2022,
200866,A,20,23/09/2024,
200867,B,19,08/04/2025,
200868,B,35,21/04/2024,
200869,A,23,21/11/2023,
200870,P,36,18/04/2024,
200871,P,50,12/06/2024,
200872,B,37,14/07/2022,
200873,P,37,28/01/2025,
200874,A,33,19/05/2023,
200875,A,71,15/10/2022,
200876,P,41,21/07/2022,
200877,P,42,30/08/2022,
200878,B,41,08/07/2023,
200879,P,35,17/05/2025,
200880,A,62,20/07/2025,
200881,B,38,12/02/2025,
200882,P,50,29/11/2024,
200883,A,60,03/11/2022,
200884,A,33,29/04/2023,
200885,A,44,08/03/2022,
200886,A,47,21/04/2022,
200887,A,46,10/04/2022,
200888,B,35,15/02/2023,
200889,A,21,03/04/2025,
200890,P,53,08/03/2025,
200891,A,35,05/05/2022,
200892,B,38,06/10/2024,
200893,P,31,15/09/2023,
200894,A,53,21/01/2024,
200895,B,68,23/03/2023,
200896,B,49,29/08/2022,
200897,P,33,02/02/2023,
200898,B,47,30/06/2022,
200899,A,52,14/05/2025,
200900,A,67,21/04/2025,
200901,P,49,24/02/2024,
200902,A,38,31/03/2022,
200903,X,39,07/05/2025,
200904,B,46,12/06/2022,19/03/2024
200905,A,38,11/12/2024,
200906,B,49,09/06/2025,30/04/2027
200907,A,43,20/10/2024,
200908,A,44,08/05/2025,
200909,P,36,16/12/2024,
200910,P,30,01/08/2022,
200911,B,46,10/12/2024,01/12/2026
200912,P,27,04/10/2024,
200913,P,49,15/06/2023,
200914,P,36,31/12/2022,
200915,A,65,27/12/2022,
200916,A,54,16/11/2024,
200917,B,38,30/12/2023,
200918,A,60,06/07/2023,
200919,P,43,09/07/2025,
200920,A,58,24/08/2022,
200921,P,46,06/01/2023,
200922,B,41,25/01/2023,
200923,A,25,04/07/2025,
200924,P,18,18/03/2022,
200925,A,47,25/02/2025,
200926,B,60,09/02/2023,
200927,P,46,27/06/2022,
200928,B,18,07/12/2024,
200929,X,54,20/01/2023,
200930,P,49,04/08/2023,
200931,A,35,27/04/2022,
200932,A,46,28/02/2025,
200933,A,48,16/03/2022,
200934,B,36,20/08/2023,31/12/2025
200935,A,63,27/12/2024,
200936,B,28,03/01/2024,27/01/2026
200937,A,70,23/08/2023,
200938,A,52,10/11/2023,
200939,P,41,23/01/2023,
200940,A,35,21/05/2024,
200941,B,32,12/02/2024,07/08/2024
200942,A,48,28/06/2025,
200943,A,42,31/10/2024,
200944,P,48,06/08/2023,
200945,A,71,30/04/2025,
200946,P,50,24/02/2025,
200947,A,55,29/06/2024,
200948,A,51,09/10/2022,
200949,P,43,10/01/2022,
200949,X,60,18/04/2022,29/08/2023
200951,B,66,15/01/2023,
200952,B,34,07/12/2024,
200953,B,63,18/07/2022,19/08/2024
200954,A,61,08/01/2025,
200955,A,28,08/01/2024,
200956,A,53,29/09/2022,
200957,A,30,02/08/2023,
200958,B,56,12/12/2023,
200959,A,21,17/06/2023,
200960,A,52,03/01/2023,
200961,A,55,26/09/2022,
200962,B,41,27/07/2024,19/05/2026
200963,P,47,30/07/2024,
